"UNSPSC_v5_0301";"Translation_German_5_0301";"English_Titles_ 5_0301"
42294201;"Kardiovaskuläre oder thorakal chirurgische Bestecksammlungen";"Cardiovascular or thoracic surgical instrument sets"
42294202;"Externe Fixierungsbestecksammlungen oder Systemen";"External fixation instrument sets or systems"
42294203;"Allgemeine chirurgische Bestecksammlungen oder Systemen";"General surgical instrument sets"
42294204;"Mikro oder feine oder plastische chirurgische Bestecksammlungen";"Micro or delicate or plastic surgery instrument sets"
42294205;"Neurochirurgische oder Rückgratische Bestecksammlungen ";"Neurosurgical or spinal instrument sets"
42294206;"Opthalmische chirurgische Bestecksammlungen ";"Ophthalmic surgery instrument sets"
42294207;"Oral maxillofacial Bestecksammlungen";"Oral maxillofacial surgical instrument sets"
42294208;"Orthopädische Revision oder gesamte Gelenksysteme";"Orthopedic revision or total joint instrument systems"
42294209;"Orthopädische Trauma Fixierungsysteme";"Orthopedic trauma fixation instrument systems"
42294210;"Otolaryngologische Bestecksammlungen ";"Otolaryngological surgical instrument sets"
42294211;"Chirurgische Custom oder Spezialitätsbestecken oder Verfahrenbrette";"Surgical custom or specialty instrument or procedure trays"
42294212;"Urologische chirurgische Bestecksammlungen";"Urological surgical instrument sets"
42294300;"Minimal angreifende Brustbiopsie Bestecke und Vorräte und Geräte ";"Minimally invasive breast biopsy instruments and supplies and equipment"
42294301;"Minimal angreifende Brustbiopsie Treiber oder Schossmodulen oder Zubehöre";"Minimally invasive breast biopsy drivers or firing modules or accessories"
42294302;"Minimal Angriffs Brustbiopsie Prämienaufschlagunits ";"Minimally invasive breast biopsy premium loading units"
42294303;"Minimal angreifende Brustbiopsie Nadelleiter";"Minimally invasive breast biopsy needle guides"
42294304;"Minimal angreifende Brustbiopsie Markierungsbestecke";"Minimally invasive breast biopsy marker instruments"
42294305;"Minimal angreifende Brustbiopsie Vakkumunits oder Zubehöre";"Minimally invasive breast biopsy vacuum units or accessories"
42294400;"Vaskuläre oder Kardiacsysteme";"Vascular and cardiac systems"
42294401;"Veneerntesysteme";"Vein harvest systems"
42294402;"Koronorische Visualisierensysteme";"Coronary visualization systems"
42294500;"Ophthalmische Spezialitätsbestecke und entsprechende Produkte";"Ophthalmic specialty instruments and related products"
42294501;"Konformer oder Abschirmungen für ophthalmische Chirurgie";"Conformers or shields for ophthalmic surgery"
42294502;"Augenlid Gewichte für ophthalmische Chirurgie";"Eyelid weights for ophthalmic surgery"
42294503;"Fixierungsring für ophthalmische Chirurgie";"Fixation rings for ophthalmic surgery"
42294504;"Intraokulär Membran Bestecke für ophthalmische Chirurgie";"Intraocular membrane instruments for ophthalmic surgery"
42294505;"Augenlidplatten für ophthalmische Chirurgie";"Lid plates for ophthalmic surgery"
42294506;"Zellkerndreher für ophthalmische Chirurgie";"Nucleus rotators for ophthalmic surgery"
42294507;"Ophthalmische Burs oder Handgriffe oder Verrötungsring Entferner";"Ophthalmic burs or handles or rust ring removers"
42294508;"Ophthalmische Nadelspülung oder Absaugungsspitzen";"Ophthalmic needle irrigating or aspirating tips"
42294600;"Autotransfusion Produkte";"Autotransfusion products"
42294601;"Autotransfusion Blut oder Übertragungstüte";"Autotransfusion blood or transfer bags"
42294602;"Autotransfusion Bechersammlungen oder zentrifugalsätze";"Autotransfusion bowl kits or centrifugal kits"
42294603;"Autotransfusionunits";"Autotransfusion units"
42294604;"Filter Autotransfusion";"Autotransfusion filters"
42294605;"Autotransfusion Behälter";"Autotransfusion reservoirs"
42294606;"Autotransfusion Röhrensammlungen oder Kasten";"Autotransfusion tubing sets or kits"
42294607;"Autotransfusion Ventile";"Autotransfusion valves"
42294700;"Offenes Herz Perfusion Geräte und Monitoren und Zubehör und andere Produkte";"Open heart perfusion equipment and monitors and accessories and related products"
42294701;"Herz und Lungen Maschinen";"Heart and lung machines or accessories"
42294702;"Intraaortische Ballon Pumpen";"Intraaortic balloon pumps or accessories"
42294703;"Intrakardiac Saugungsgeräte";"Intracardiac suction devices or accessories"
42294704;"Perfusion Arterien Filter";"Perfusion filters or related products"
42294705;"Perfusion Blut Parameter Monitor";"Perfusion blood parameter monitors or accessories or related products"
42294706;"Perfusion Blase Stopper";"Perfusion bubble traps"
42294707;"Perfusion Kardioplegia Sammlungen";"Perfusion cardioplegia sets"
42294708;"Perfusion Kardiotomie Reservoir";"Perfusion cardiotomy reservoirs"
42294709;"Perfusion zentrifugal System";"Perfusion centrifugal systems or accessories"
42294710;"Perfusion Heizungs oder Abkühlungsgerät oder doppel Heizungs oder Abkühlungsgerät oder Komponente";"Perfusion heater or cooler or dual heater and cooler equipment or accessories"
42294711;"Perfusion Hämokonzentratoren";"Perfusion haemoconcentrators or accessories"
42294712;"Perfusion Sauerstoff oder Hämatokrit Sättigungsmonitor";"Perfusion oxygen or hematocrit saturation monitors or accessories"
42294713;"Perfusion Oxygenatoren und Zubehöre";"Perfusion oxygenators or accessories"
42294714;"Perfusion Pumpenköpfe";"Perfusion pump heads"
42294715;"Perfusion Pumpen Röhren";"Perfusion pump pack tubing"
42294716;"Perfusion venöse Reservoir";"Perfusion venous reservoirs"
42294717;"Höhlenkammerhilfegeräte (LVAD oder RVAD oder IVAD)";"Ventricular assist devices"
42294800;"Endoskopen und Zubehöre und entsprechende Produkte";"Endoscopes and accessories and related products"
42294801;"Harte Endoskopen oder Zubehöre oder entsprechende Produkte";"Rigid endoscopes or accessories or related products"
42294802;"Flexibel Endoskopen oder Zubehöre oder entsprechende Produkte";"Flexible endoscopes or accessories or related products"
42294900;"Endoskopische Bestecke und Vorräte und Zubehöre und entsprechende Produkte";"Endoscopic instruments and supplies and accessories and related products"
42294901;"Endoskop oder Bestecke Positioner oder Behälter";"Endoscope or instrument positioners or holders"
42294902;"Endoskopische Applikatoren oder Fahrstühle";"Endoscopic applicators or elevators"
42294903;"Endoskopische Absaugungs oder Biopsienadeln";"Endoscopic aspiration or biopsy needles"
42294904;"Endoskopische Bite Blocks oder Bände";"Endoscopic bite blocks or straps"
42294905;"Endoskopische Reinigungsbürste oder entsprechende Produkte";"Endoscopic cleaning brushes or related products"
42294906;"Endoskopische Schneidegeräte";"Endoscopic cutting instruments"
42294907;"Endoskopische Kytologie oder mikrobiologie Brüste";"Endoscopic cytology or microbiology brushes"
42294908;"Endoskopische klemmen oder Sezier oder Greifer oder Zangen oder Ligatoren";"Endoscopic clamps or dissectors or graspers or forceps or ligators"
42294909;"Endoskopische Dialator oder Inflationsgeräte oder entsprechende Produkte";"Endoscopic dilators or inflation devices or related products"
42294910;"Endoskopische Elektroden oder Kabellen ";"Endoscopic electrodes or cables"
42294911;"Endoskopische Fixation Werkzeugkasten";"Endoscopic fixation kits"
42294912;"Endoskopische Flüssigkeit Managementsysteme oder Zubehöre";"Endoscopic fluid management systems or accessories"
42294913;"Endoskopische hämostatische Ballonen oder Nadeln oder Röhren oder Zubehöre";"Endoscopic hemostatic balloons or needles or tubes or accessories"
42294914;"Endoskopische Bestecksammlungen";"Endoscopic instrument sets"
42294915;"Endoskopische Besteckverbreiter";"Endoscopic instrument spreaders"
42294916;"Endoskopische Einblasungsfilter";"Endoscopic insufflation filters"
42294917;"Endoskopische Einblasungsnadeln";"Endoscopic insufflation needles"
42294918;"Endoskopische Einblasungsröhren";"Endoscopic insufflation tubing"
42294919;"Endoskopische Einlasser oder Leitdrähte oder Gleitdrähte";"Endoscopic introducers or guidewires or glidewires"
42294920;"Endoskopische Laserbestecke oder Zubehöre";"Endoscopic laser instruments or accessories"
42294921;"Endoskopische Knottenschieber oder Niederkunftssysteme";"Endoscopic knot pushers or delivery systems"
42294922;"Endoskopische Ligatoren";"Endoscopic ligators"
42294923;"Endoskopische Manipulatoren";"Endoscopic manipulators"
42294924;"Endoskopische monopolar oder bipolar Handbestecke oder Zubehöre oder entsprechende Produkte";"Endoscopic monopolar or bipolar hand instruments or accessories or related products"
42294925;"Endoskopische Nadeln oder Schläge";"Endoscopic needles or punches"
42294926;"Endoskopische Overtubes";"Endoscopic overtubes"
42294927;"Endoskopische Besteckpack oder Brette oder Besteckkasten";"Endoscopic instrument packs or trays or kits"
42294928;"Endoskopische Sonden oder Einlasser oder Leitdrähte oder Gleitdrähte";"Endoscopic probes"
42294929;"Endoskopische Einzieher oder Ausbreiter";"Endoscopic retractors"
42294930;"Endoskopische Schlinge oder Schlingedrähte oder Zubehöre";"Endoscopic snares or snare wires or accessories"
42294931;"Endoskopische Exemplar Wiedergabe Zangen oder Geräte ";"Endoscopic specimen retrieval forceps or devices "
42294932;"Endoskopische Stents und Röhre";"Endoscopic stents or tubes"
42294933;"Endoskopische Saugen oder Bewässerunghinweisen oder Koagulation Sonden";"Endoscopic suction or irrigation tips or coagulation probes or accessories"
42294934;"Endoskopische Fadenmachungsgeräte";"Endoscopic suturing devices"
42294935;"Endoskopische Trocars oder Scheiden oder Kanülen oder Methoden Bretter oder Werkzeugkasten";"Endoscopic trocars or sheaths or cannulas or procedure trays or kits or related products"
42294936;"Endoskopische Arbeitselemente und Arbeitskanalen";"Endoscopic working elements or working channels"
42294937;"Nebelreduzierungsgeräte für Endoskopen und Spiegel";"Fog reduction devices for endoscopes or mirrors"
42295000;"Endoskopische Anlagen und Zusatzgeräte und entsprechende Produkte";"Endoscopic equipment and accessories and related products"
42295001;"Endoskopische Wartungsunits oder -zusatzgeräte ";"Endoscope maintenance units or accessories"
42295002;"Endoskopische Lagerschränke oder Zubehöre";"Endoscope storage cabinets or accessories"
42295003;"Endoskopische Wandaufhänger oder Zubehöre";"Endoscope wall hangers or accessories"
42295004;"Endoskopische Anlagen oder Verfahrenkarren oder Zubehöre";"Endoscopic equipment or procedure carts or accessories"
42295005;"Endoskopische Gerätesammlungen";"Endoscopic equipment sets"
42295006;"Endoskopische Wärmerprobeunits oder Wärmerproben oder Zubehöre";"Endoscopic heater probe units or heater probes or accessories"
42295007;"Endoskopische Abbildungssysteme oder Zubehöre";"Endoscopic imaging systems or accessories"
42295008;"Endoskopische Insufflation oder Ausdehnungunits oder Zubehöre";"Endoscopic insufflation or distention units or accessories"
42295009;"Endoskopische oder chirurgische Beleuchtungsquellen oder Kabeln oder Zubehöre";"Endoscopic or surgical light sources or cables or accessories"
42295010;"Endoskopische Drucker oder Zubehöre";"Endoscopic printers or accessories"
42295011;"Endoskopische Videokamera oder Aufnahmeapparat oder Verbindungsstücke oder Zubehöre";"Endoscopic video cameras or recorders or adapters or accessories"
42295012;"Endoskopische Wasserflaschen oder Zubehöre";"Endoscopic water bottles or accessories"
42295100;"Chirurgische Bestecke und Zubehören und entsprechende Produkte";"Surgical equipment and accessories and related products"
42295101;"Chirurgische Beckenständer für chirurgische Benutzung";"Basin stands for surgical use"
42295102;"Kryochirurgische Anlagen und Zubehöre";"Cryosurgery equipment or accessories"
42295103;"Niederkunftszimmer oder Caesarean Abteilungs Patientbehandlungstische oder Zubehöre oder entsprechende Produkte";"Delivery room or cesarean section patient procedure tables or accessories or related products"
42295104;"Elektrchirurgische oder Elektrokauterie Anlagen oder Zubehöre oder entsprechende Produkte";"Electrosurgical or electrocautery equipment or accessories or related products"
42295105;"Bestecktische für chirurgische oder obstetrische Niderkunft Benutzung oder Zubehöre oder entsprechende Produkte";"Instrument tables for surgical or obstetrical delivery use or accessories or related products"
42295106;"Lap Mayo Brette oder Mayo Ständer für chirurgische Benutzung oder Zubehöre";"Lap mayo trays or mayo stands for surgical use or accessories"
42295107;"Operations Zimmer Behälterkarren oder Verfahrenskarre oder Wandschränke oder Zubehöre";"Operating room case carts or procedure carts or wall racks or accessories"
42295108;"Operationszimmer Frakturtische oder orthopädische Tische oder Zubehöre oder entsprechende Produkte";"Operating room patient fracture tables or orthopedic tables or accessories or related products"
42295109;"Operationszimmer Kick Buckets oder Zubehöre oder entsprechende Produkte";"Operating room kick buckets or accessories or related products"
42295110;"Operationszimmer Beleuchtung für das chirurgische Feld oder Zubehöre oder entsprechende Produkte";"Operating room lighting for surgical field or accessories or related products"
42295111;"Operationszimmer Positionierungsgeräte oder Zubehöre";"Operating room patient positioning devices or accessories"
42295112;"Operationszimmer Verfahrungstische oder Zubehöre oder entsprechende Produkte";"Operating room patient procedure tables or accessories or related products"
42295113;"Opthalmische Spülungs oder Absaugungsanlagen oder Zubehöre";"Ophthalmic irrigation or aspiration equipment or accessories"
42295114;"Phacoemulsifikation oder Verdrängungsgeräte oder Zubehöre für ophthalmische Chirurgie";"Phacoemulsification or extrusion equipment or accessories for ophthalmic surgery"
42295115;"Rollstühle oder Zubehöre des Chirurges";"Rolling surgeons stools or accessories"
42295116;"Step Stühle für chirurgische Benutzung oder Zubehöre";"Step stools for surgical use or accessories"
42295117;"Chirurgische Schlafdecken und Lösungwärmende Schränke oder Zubehöre";"Surgical blanket or solution warming cabinets or accessories"
42295118;"Chirurgische Spülungspumpanlagen oder gepulste Spülung oder Zubehöre mit oder ohne Saugen";"Surgical irrigation pump equipment or pulsed lavage or accessories with or without suction"
42295119;"Chirurgische Laser oder Zubehöre";"Surgical lasers or accessories"
42295120;"Chirurgische Lithotriptoren oder Zubehöre";"Surgical lithotripters or accessories"
42295121;"Chirurgische Mikroskopen oder Looping oder Vergrösserungsgläser oder Zubehöre";"Surgical microscopes or loops or magnifiers or accessories"
42295122;"Chirurgische pneumatische oder elektrische Tourniqueten oder Zubehöre";"Surgical pneumatic or electric tourniquets or accessories"
42295123;"Chirurgische Saugungsmaschinen oder Vakkumzangen oder Ultraschall chirurgische Absauger oder Regler oder Zubehöre";"Surgical suction machines or vacuum extractors or ultrasonic surgical aspirators or regulators or accessories"
42295124;"Chirurgische Rauchabführer oder Zubehöre";"Surgical smoke evacuators or accessories"
42295125;"Urologische Tische oder Zubehöre";"Surgical urological tables or accessories"
42295126;"Vitreo retinal Fragmatome Chirurgieanlagen oder Zubehöre für ophthalmische Chirurgie";"Vitreo retinal fragmatome surgery equipment or accessories for ophthalmic surgery"
42295200;"Chirurgische Kraftgeräte und Zubehöre und entsprechende Produkte";"Surgical power equipment and accessories and related products"
42295201;"Chirurgische Dermatom, Dermabrader oder Dermanetzwerker oder Zubehöre ";"Surgical dermatomes or dermabraders or dermameshers or accessories"
42295202;"Chirurgische pnematische oder Batterei oder elektrische Säge oder Bohrer oder Nadelantrieber oder Zubehören ";"Surgical pneumatic or battery or electric saws or drills or pin drivers or accessories"
42295203;"Chirurgische Kraftgerätesammlungen oder Zubehöre";"Surgical power equipment sets or accessories"
42295204;"Chirurgische Fräsen oder Zubehör oder entsprechende Produkte";"Surgical reamers"
42295205;"Chirurgische Razierapparat oder Handstücke oder Klingen oder Zubehöre";"Surgical shaver equipment or handpieces or blades or accessories"
42295300;"Offenes Herz chirurgische Vorräte und Zubehöre und entsprechende Produkte Geräte und Monitoren und Zubehör und andere Produkte";"Open heart surgical supplies and accessories and related products"
42295301;"Chirurgische koronorische Artereien Gebläsen oder Mister oder Zubehöre";"Surgical coronary artery blowers or misters or accessories"
42295302;"Chirurgische Perfusionkanülen";"Surgical perfusion cannulas"
42295303;"Chirurgische Perfusion Katheter oder Verbindungsstücke oder Zubehöre";"Surgical perfusion catheters or connectors or accessories"
42295304;"Chirurgische zwerschfellige Nerven Polster oder Herzkissen ";"Surgical phrenic nerve pads or heart pillows"
42295305;"Chirurgische Tourniqueten oder vaskuläre Okklusoren oder Ligatoren oder Zubehöre";"Surgical tourniquets or vascular occluders or ligators or accessories"
42295306;"Gefäßlooping oder Schrumpfungsbände";"Surgical vessel loops or retraction tapes"
42295400;"Chirurgische Unterstützungsvorräte";"Surgical support supplies"
42295401;"Mit Batterie operierbare Kauteriebleistiften";"Battery operated surgical cautery pencils"
42295402;"Disponibel chirurgische Markierungsstiften";"Disposable surgical marking pens"
42295403;"Aeussere Fixierungsanlagen oder Archstangen oder Zubehöre";"External fixation devices or arch bars or accessories"
42295404;"Magen Darm Stent";"Gastrointestinal stents"
42295405;"Einlasser oder Wegzeigernadeln oder Gleitdrähte für non-endoskopische, chirurgische oder öffner Herz Verfahren ";"Introducers or guide pins or guidewires or glidewires for non-endoscopic surgical or open heart procedures"
42295406;"Laparotomie oder Spezialität oder Röntgenstrahlen entdeckbare oder Gaze chirurgische Speeren oder Schwämme oder Dochte";"Laparotomy or specialty or x-ray detectable or gauze surgical spears or sponges or wicks"
42295407;"Patient Masken für das chirurgische Benutzen";"Patient masks for surgical use"
42295408;"Handschrubbürste oder Lösungen oder Zubehöre des Chirurges";"Surgeons hand scrub brushes or solutions or accessories"
42295409;"Chirurgische Aufleger";"Surgical applicators"
42295410;"Chirurgische Beckensätze oder Pack";"Surgical basin sets or packs"
42295411;"Chirurgische Klingehalter oder Brecher";"Surgical blade holders or breakers"
42295412;"Bohnzement oder Mischungssysteme oder Zubehöre";"Surgical bone cement or mixing systems or accessories"
42295413;"Chirurgische Kanalbürste";"Surgical canal brushes"
42295414;"Chirurgische Custom oder Spezialitätsverfahrenpack";"Surgical custom or specialty procedure packs"
42295415;"Chirurgische Besteckdecken";"Surgical equipment covers"
42295416;"Chirurgische Evakuatoren";"Surgical evacuators"
42295417;"Chirurgische leicht Henkel oder Decken";"Surgical light handles or covers"
42295418;"Chirurgische magnetische Matte";"Surgical magnetic mats"
42295419;"Chirurgische Nervenstimulatoren oder Zubehöre";"Surgical nerve stimulators or accessories"
42295420;"Chirurgische oder Endoskopische Katheter oder Drainagetüte";"Surgical or endoscopic catheters or drainage bags"
42295421;"Chirurgische Prepschrubber oder Farbenlösungen";"Surgical prep scrub or paint solutions"
42295422;"Chirurgische Prepschrubbersätze für Patienten";"Surgical scrub or prep kits for patient"
42295423;"Chirurgische Sharps oder Schwamm Schalter";"Surgical sharps or sponge counters"
42295424;"Chirurgische Razierzeug oder Preprazieren oder Scheren";"Surgical shave kits or prep razors or clippers"
42295425;"Chirurgische Sibernitratstöcke oder Bleistifte oder Kristalle";"Surgical silver nitrate sticks or pencils or crystals"
42295426;"Chirurgische Probesammlungsfange oder Behälter";"Surgical specimen collection traps or containers"
42295427;"Chirurgische sterile Besteckebürsten oder Besteckstylet oder Besteck Wischtuche";"Surgical sterile instrument brushes or instrument stylets or instrument wipes"
42295428;"Chirurgische Saugen oder Spülungsröhren";"Surgical suction or irrigation tubing"
42295429;"Chirurgische Saugungskanister oder Zubehöre";"Surgical suction canisters or accessories"
42295430;"Chirurgische Trachealstents";"Surgical tracheal stents"
42295431;"Chirurgische durchsichtige Inzisedrapierungen oder Bestecktaschen ";"Surgical transparent incise drapes or instrument pouches"
42295432;"Urologische";"Urological stents"
42295433;"Urologische chirurgische Katheter oder Zubehöre";"Urological surgical catheters or accessories"
42295434;"Vaginal Stents";"Vaginal stents"
42295500;"Chirurgische Einplanzen und Ausdehner ";"Surgical implants and expanders and extenders and surgical wires and related products"
42295501;"Kardiovaskuläre Einpflanzungen";"Cardiovascular implants"
42295502;"Menschlische Gewebe Einpfalnzungen ";"Human tissue implants"
42295503;"Einpflanzbare Infusionspforten oder Pumpen";"Implantable infusion ports or pumps"
42295504;"Neurochirurgische Einpfalnzungen ";"Neurosurgical implants"
42295505;"Opthalmische Einpfalnzungen ";"Ophthalmic implants"
42295506;"Oral maxifacial Einpflanzungen oder Sammlungen";"Oral maxillofacial implants or sets"
42295507;"Orthopädische Einpfalnzungen ";"Orthopedic implants or surgical wires"
42295508;"Otolaryngologie Einpfalnzungen od. Sammlungen";"Otolaryngology implants or sets"
42295509;"Plastische oder kosmetische Einpfalnzungen oder Gewebeausbreiter oder Zubehören oder Sammlungen";"Plastic or cosmetic implants or tissue expanders or sets"
42295510;"Chirurgische Klebesperren";"Surgical adhesion barriers"
42295511;"Chirurgische Knochenstimulatoren";"Surgical bone stimulators"
42295512;"Chirurgische einpflanzbare Shunts oder Shuntausdehner";"Surgical implantable shunts or shunt extenders"
42295513;"Chirurgische Schlingen oder Gewebesperrenprodukte";"Surgical mesh or tissue barrier products"
42295514;"Chirurgische silastische Einpflanzungen für allgemeine Benutzung";"Surgical silastic implants for general use"
42295515;"Synthetische Gewebe Einpfalzungen";"Synthetic tissue implants"
42295516;"Urologische Einpflanzungen oder Sammlungen";"Urological implants or sets"
42300000;"Medizinische Ausbuildung und Bildungsgeräte ";"Medical training and education supplies"
42301500;"Medizinische Ausbuildungshilfen";"Aids for medical training"
42301501;"Anatomische menschlische Model für die medizinischen Bildung oder Ausbildung";"Anatomical human models for medical education or training"
42301502;"Anatomische menschlische Mannequinen für die medizinischen Bildung oder Ausbildung";"Anatomical human mannequins for medical education or training"
42301503;"Kardio pulmonäre Wiederbelebung Ausbildungshilfen";"Cardio pulmonary resuscitation (CPR) training aids"
42301504;"Besteckkasten für die medizinischen Ausbuildung";"Kits for medical education or training"
42301505;"Krankenpflege oder medizinische klammerbretter";"Nursing or medical clipboards"
42301506;"Doppelhörer Stethoskopen";"Dual earpiece stethoscopes"
42310000;"Wundpflegeprodukten";"Wound care products"
42311500;"Bandagen und Verbandsstoffe und entsprechende Produkte";"Bandages and dressings and related products"
42311501;"Scheren oder Bandagen oder Verbandstoffe";"Clips for bandages or dressings"
42311502;"Bandage oder Verbandstoffe Anfägersammlungen";"Bandage or dressing starter kits"
42311503;"Bandage Rollen";"Bandage rollers"
42311504;"Bandage oder Verbandstoffe für Brandwundepflege";"Bandages or dressings for burn care"
42311505;"Bandage oder Verbandstoffe für allgemeine Benutzung";"Bandages or dressings for general use"
42311506;"Kompressionsbandage";"Compression bandages"
42311507;"Verbandsschwämme";"Dressing sponges"
42311508;"Verbandskarren";"Dressing trays"
42311509;"Fussel Verbandstoffe";"Fluff dressings"
42311510;"Schaum Verbandstoffe";"Foam dressings"
42311511;"Florbandage";"Gauze bandages"
42311512;"Florschwämme";"Gauze sponges"
42311513;"Gel Verbandstoffe";"Gel dressings"
42311514;"Keimtötende Verbandstoffe";"Germicidal dressings"
42311515;"Hydrokollid Verbandstoffe";"Hydrocolloid dressings"
42311516;"Intravenöse Verbandstoffe";"Intravenous dressings"
42311517;"Flüssige Klebmitteln für Bandage oder Verbandstoffe";"Liquid adhesives for bandages or dressings"
42311518;"Medizinische Augenpolstern oder Lüppchen";"Medical eye pads or patches"
42311519;"Medizinische nicht anhaftbare Bände und Streifen";"Medical non-adherent straps"
42311520;"Medizinische nicht anhaftbare Bände und Streifen";"Medical non-adherent tapes"
42311521;"Negative Druckverbandstoffe";"Negative pressure dressings"
42311522;"Okklusische Verbandstoffe";"Occlusive dressings"
42311523;"Kleb Bandage";"Paste bandages"
42311524;"Paraffinsalbe Verbandstoffe";"Petrolatum dressings"
42311525;"Druck Bandage";"Pressure bandages"
42311526;"Faserschnur Verbandstoffe";"Spunlace dressings"
42311527;"Durchsichtige Film Verbandstoffe";"Transparent film dressings"
42311528;"Naßbehandelnsysteme";"Wet dressing systems"
42311600;"Exogenöse lokal Hämostatische Agen";"Exogenous topical hemostatic agents"
42311601;"Saugfähige Gallertschwämme";"Absorbable gelatin sponges"
42311602;"Knoch Wachs";"Bone wax"
42311603;"Säuernde Zellulose";"Oxidized cellulose"
42311700;"Medizinische oder chirurgische Klebestoffe und entsprechende Produkte für spezielle Benutzung";"Medical and surgical adherent tapes and related products for specialty use   "
42311701;"Verbandverhaltungsbände";"Dressing retention tapes"
42311702;"Säugling Nabelbände";"Infant umbilical tapes"
42311703;"Medizinische oder chirurgische Bände für Hautbefestigung";"Medical or surgical tapes for skin attachment"
42311704;"Medizinische oder chirurgische Bändeverabreichung";"Medical or surgical tape dispensers"
42311705;"Medizinische oder chirurgische Bändeentferner";"Medical or surgical tape removers"
42311706;"Medizinische selbstanhäftende Florbände";"Medical self adhering gauze tapes"
42311707;"Chirurgische Gewebbände ";"Surgical tissue tapes"
42311800;"Medizinische oder chirurgische anhaftende Bände für allgemeine Benutzung";"Medical and surgical adherent tapes for general use          "
42311801;"Medizinische oder chirurgische unwebene Allergenbände";"Medical or surgical non-woven allergenic tapes     "
42311802;"Medizinische oder chirugische unwebene Unallergenbände";"Medical or surgical non-woven non-allergenic tapes "
42311803;"Medizinische oder chirurgische webene Allerginbände";"Medical or surgical woven allergenic tapes "
42311804;"Medizinische oder chirurgische webene Unallergenbände";"Medical or surgical woven non-allergenic tapes     "
42311900;"Medizinische Inzision Drän und Dräntüte und Behälter und entsprechende Produkte";"Medical incision drains and drainage bags and reservoirs and related products"
42311901;"Medizinische Inzision Dränzubehöre";"Medical incision drain accessories"
42311902;"Medizinische Inzision Dräntüten oder Behälter";"Medical incision drainage bags or reservoirs"
42311903;"Medizinische Inzision Drän und entsprechende Produkte";"Medical incision drains"
42312000;"Medizinische Gewebeverschlüsse und entsprechende Produkte";"Medical tissue closure and related products"
42312001;"Schmetterling Hautverschlüsse";"Butterfly skin closures"
42312002;"Klemmen für Hautverschlüsse";"Clips for skin closure"
42312003;"Lukoplast Hautverschlüsse";"Leukostrip skin closures"
42312004;"Medizinische Gummi oder Klebestoff Entfernungsmitteln";"Medical adhesive or glue removers"
42312005;"Medizinische anhaftbare Bände und Klebstoffe für Hautverschlüsse";"Medical adhesives or glues for skin closure"
42312006;"Medizinische Klammenaufleger für interne Benutzung";"Medical clip appliers for internal use"
42312007;"Medizinische Klammernahtapparat für interne Benutzung";"Medical clips for internal use"
42312008;"Medizinische Klammen oder Klemmen Entfernungsmitteln";"Medical staple or clip removers"
42312009;"Klammernahtapparat für interne Benutzung";"Staplers for internal use"
42312010;"Klammernahtapparat für Hautverschlüsse";"Staplers for skin closure"
42312011;"Klammer für interne Benutzung";"Staples for internal use"
42312012;"Klammer für Hautverschlüsse";"Staples for skin closure"
42312013;"Steristreifen Hautverschlüsse";"Steristrip skin closures"
42312014;"Gewebe Verschluss Besteckkasten oder Bretten oder Pack oder Sammlungen";"Tissue closure kits or trays or packs or sets"
42312100;"Ostomie Vorräte und unchirurgische Wunde Drän Produkte";"Ostomy supplies and non-surgical wound drainage products"
42312101;"Ostomie Vorräte Klebmitteln";"Ostomy appliance adhesives"
42312102;"Ostomie Geräte";"Ostomy appliances"
42312103;"Ostomie Reiniger und Deodorante";"Ostomy cleaners or deodorants"
42312104;"Ostomie Sammlungsvorräte";"Ostomy collection supplies"
42312105;"Ostomie Hautabsperrungen";"Ostomy skin barriers"
42312106;"Ostomie Waffeln und Einsetzung";"Ostomy inserts"
42312107;"Ostomie Waffeln und Einsetzung";"Ostomy wafers"
42312108;"Wunddrän und Beuteln";"Wound drainage pouches"
42312200;"Faden und entsprechende Produkten";"Suture and related products"
42312201;"Faden";"Suture"
42312202;"Fadenkasten oder Karre oder Packs oder Sammlungen";"Suturing kits or trays or packs or sets"
42312203;"Fadenknöpfen oder Brücken oder entsprechende Zubehöre";"Suture buttons or bridges or related accessories"
42312204;"Faden Einnahme Anlagen";"Suture capturing devices"
42312205;"Fadenkarre oder Schranken";"Suture carts or racks"
42312206;"Faden Nadeln";"Suture needles"
42312207;"Fadenentfernungs Besteckkasten oder Bretter oder Pack oder Sammlungen";"Suture removal kits or trays or packs or sets"
42312208;"Fadenentfernungsmitteln";"Suture removers"
42312300;"Wundereneigungs und Produkte";"Wound cleaning and debridement products"
42312301;"Absorptionmitteln für Debridement Wundereneigung";"Absorbers for wound cleansing"
42312302;"Debridement Schwämme";"Debridement sponges"
42312303;"Disponibel gepulste Spülungssysteme oder entsprechende Zubehöre für Wundebehandlung";"Disposable pulsed lavage systems or related accessories for wound treatment"
42312304;"Medizinische autolytische Debridement Produkte";"Medical autolytic debridement products"
42312305;"Medizinische enzymatische Debridement Produkte ";"Medical enzymatic debridement products"
42312306;"Medizinische mechanische Debridement Produkte ";"Medical mechanical debridement products"
42312307;"Medizinische chirurgische Debridement Produkte ";"Medical Surgical debridement products"
42312308;"Wiederbenutzbare gepulste Spülungssysteme oder entsprechende Zubehöre für Wundebehandlung";"Reusable pulsed lavage systems or related accessories for wound treatment"
